date,public_or_private,venue_event_name,location,start_time,end_time,cover,cover_charge,details,link
3/7/2026,public,Butler American Legion Post 117,"Butler, PA",8:00 PM,11:30 PM,N/A,N/A,N/A,N/A
4/3/2026,public,Helltown Brewing,"Butler, PA",6:00 PM,10:00 PM,Yes,$10,,
5/16/2026,public,Saxonburg Community Days by Sponsor the Troops,"Saxonburg, PA",TBD,TBD,TBD,,,
6/15/2026,public,Worthington Carnival,"Worthington, PA",6:30 PM,TBD,No,N/A,N/A,N/A
7/4/2026,public,Ford City Memorial Park 5K,"Ford City, PA",9:00 AM,TBD,No,N/A,N/A,N/A
7/25/2026,public,Middlesex Community Days,Middlesex PA,6:00 PM,9:00 PM,No,N/A,,
8/1/2026,public,Helltown Brewing,"Butler, PA",7:00 PM,10:00 PM,No,N/A,N/A,N/A
9/12/2026,public,Herman Firehall Community Days,"Butler, PA",6:00 PM,9:00 PM,No,N/A,N/A,N/A
9/13/2026,public,Saxonburg Arts Festival,"Saxonburg, PA",1:00 PM,4:00 PM,No,N/A,N/A,N/A
9/26/2026,public,Syria Mosque,"Cheswick, PA",TBD,TBD,,,N/A,N/A
11/7/2026,public,Helltown Brewing,"Butler, PA",7:00 PM,,,,N/A,N/A
12/31/2026,public,Butler American Legion Post 117,"Butler, PA",TBD,TBD,TBD,,,
